Country,Company Name,2017,2018,2019,2020,2021,2022
United States,Oneok,9.8[878],11.3[879],8.9[879],7.2[880],15.1[880],22.3[881]
United States,Ovintiv,,,6.7[882],6.1[882],8.7[882],12.4[883]
United States,PBF Energy,21.8[884],27.2[884],24.5[885],15.1[885],27.3[885],46.8[886]
United States,PDC Energy,0.9[887],1.5[887],1.1[888],1.3[888],1.8[889],3.8[889]
United States,Phillips 66,104.6[890],111.4[890],109.5[891],65.4[891],114.8[892],175.7[893]
United States,Pioneer Natural Resources,5.4[894],9.4[894],9.3[895],6.6[895],14.6[895],24.2[896]
United States,Plains All American Pipeline,20.1[897],26.2[897],33.6[898],23.2[898],42.0[898],57.3[899]
United States,Talos Energy,0.3[900],0.7[900],0.8[901],0.5[901],1.0[901],1.6[902]
United States,Targa Resources,8.8[903],10.4[903],8.1[904],8.2[904],16.9[905],20.9[905]
United States,Valero Energy,93.0[906],117.0[907],108.3[907],64.9[908],113.9[909],176.3[910]
United States,Williams Companies,8.0[911],8.6[911],8.2[912],7.7[912],10.6[912],10.9[913]
Uzbekistan,Uzbekneftegaz,,2.6[914][wj],2.7[914][wk],1.9[914][wl],4.1[918][wm],6.4[920][wn]
Venezuela,PDVSA,[wo],[wp],[wq],[wr],11.0[922][ws],
Vietnam,Petrovietnam,21.3[923],26.9[923],31.7[924],21.1[925],27.1[925],39.7[926][wt]
